"focalID","focalDBH","focalBA","hegyi","BA"
"10ac1_1",50.6,0.2010906744,2.78722594970704,596.186298856764
"10ac1_2",187.7,2.7670655166,0.79287377730487,650.316096709818
"10ac1_3",10.4,0.0084948864,17.7141128900524,709.266005873964
"10ac1_4",120.8,1.1461059456,1.24096048400982,752.42813885778
"10ac1_5",22.8,0.0408282336,8.09634450284168,998.932219149942
"10ac1_6",10.2,0.0081713016,15.2221992823635,771.36450977124
"10ac1_7",22.8,0.0408282336,7.88853428969075,696.39317498751
"10ac2_1",25.3,0.0502726686,5.27337851342243,86.6942026566
"10ac2_2",25.1,0.0494809854,5.13243614447444,493.1762989692
"10ac2_3",43.6,0.1493013984,2.25811972736334,151.716966786
"10ac2_4",102.8,0.8299981536,1.31723374589051,369.5077404018
"10ac2_5",21.5,0.036305115,5.59018071582965,351.3193859406
"10ac3_1",11,0.00950334,11.9644840039582,170.462556264
"10ac3_2",101.5,0.809138715,0.778089376591019,197.4615106464
"10ac3_3",90,0.636174,1.17196335268535,157.929143064
"10ac3_4",7.8,0.0047783736,13.8705881990678,196.6486027968
"10ac3_5",27.9,0.0611363214,2.62133850825309,123.2597869272
"10pj1_1",42.5,0.141862875,3.57751542842495,711.885361942986
"10pj1_2",121.7,1.1632473006,1.29783707106282,641.384033178504
"10pj1_3",23.5,0.043373715,5.77054815800374,504.5115420576
"10pj2_1",23.2,0.0422733696,5.43708154167998,421.554900921
"10pj2_2",107.8,0.9127007736,0.827646994481483,137.0720779428
"10pj2_3",139.3,1.5240286446,0.562126121546302,76.204597392
"10pj2_4",15.9,0.0198556974,8.97788609566675,341.9756305812
"10pj2_5",35.2,0.0973142016,4.01132216276634,248.4518086512
"10pj3_1",105.5,0.874169835,1.16761545911949,151.3252791666
"10pj3_2",116.7,1.0696276206,0.861849370855941,199.7806963152
"10pj3_3",30.7,0.0740231646,2.20828333381332,129.852475368
"10pj3_4",141.8,1.5792226296,0.356468367783425,32.9198556456
"11ac1_1",19.4,0.0295593144,1.59037217250488,29.2538377824
"11ac1_2",45.4,0.1618835064,1.2606341578972,41.5053355794
"11ac1_3",29.5,0.068349435,0.443777247576162,3.4391495754
"11ac1_4",30.4,0.0725835264,4.85557490710993,35.7164467044
"11ac2_1",74.9,0.4406101854,0.649809682617674,35.222236896
"11ac2_10",8.1,0.0051530094,10.6127507898606,35.688737007
"11ac2_11",11.6,0.0105683424,5.61077291349909,20.113430337
"11ac2_3",17.8,0.0248846136,2.4538643692098,29.8352599776
"11ac3_1",17.2,0.0232352736,7.74112571360725,342.2958224532
