"","Year","zeroRing","raw_growth","BAI","spline_growth","fss_growth","Site","Species","Neighborhood","ID","label","siteno","Region","hilo","tree.uniqueID","DBH","focalBA","hegyi","BA","Name","Longitude","Latitude","Date","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spi12","cutoff","droughtyear","post1","post2","spei_post1","spei_post2","Year_post1","Year_post2","avg_growth","diff","reduction","drought_fx","post1_fx","post2_fx"
"1",1959,"no",0.125,3.94858926648067,0.424883501906483,0.801990361858051,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"1959-09",9,1959,345,12.3833333333333,0.215024924573167,-1.42196186695039,-1.71746196768069,-1.62616151075096,-1.12835294054579,"yes",0.543342196963467,0.206160959717341,-0.844962557701276,-1.89488940050593,1960,1961,0.825490714539837,0.400607212633353,"yes",0.485295843523411,0.34179490163454,0.750256476437456
"2",1961,"no",0.065,2.1594522502612,0.206160959717341,0.424085135997216,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"1961-09",9,1961,264,11.6833333333333,-0.0694806808342232,-1.2310783043141,-1.89488940050593,-2.15789422510188,-1.12835294054579,"yes",0.258369723827791,0.667332070870189,-0.106698966609957,-0.714135210939668,1962,1963,0.825490714539837,0.619329754822496,"yes",0.750256476437456,0.68701074490969,0.191593486012513
"3",1981,"no",1.115,111.303878823114,1.54592230248692,1.29923094849685,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"1981-09",9,1981,391,12.725,0.279618665360066,-1.54046989475559,-1.61475745886298,-1.34176488172819,-1.12835294054579,"yes",1.27640765789139,0.912972279593544,1.04565978696483,2.01198200846773,1982,1983,0.825490714539837,-0.720431587947087,"no",-0.872731304250571,-0.546241084738204,-0.105975226023558
"4",2000,"no",0.89,175.422135546739,0.995876299458659,0.98376081421416,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2000-09",9,2000,418,12.5583333333333,0.706614725935,-0.580523114505251,-1.44307758618798,-1.17944354923992,-1.12835294054579,"yes",0.960217838718125,0.506727973291736,-1.1814329475062,-2.31820081537228,2001,2002,0.825490714539837,-0.170385584918823,"no",-0.206405210764609,-0.163208527734186,0.386149396514766
"5",2001,"no",0.865,175.263720737181,0.960217838718125,0.952640409128844,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2001-09",9,2001,428,11.5,-0.550403066370389,-1.48134017038228,-1.1814329475062,-1.12015102350353,-1.12835294054579,"yes",0.506727973291736,0.677973074298248,-2.31820081537228,-0.175358311675663,2002,2003,0.825490714539837,-0.134727124178288,"no",-0.163208527734186,0.386149396514766,0.17870296739052
"6",2002,"no",0.46,95.1186290912696,0.506727973291736,0.5074079499822,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2002-09",9,2002,229,12.325,-0.849678836405076,-2.01509083021053,-2.31820081537228,-2.40589869486372,-1.12835294054579,"yes",0.677973074298248,1.00997713993038,-0.175358311675663,-1.43124882590646,2003,2004,0.825490714539837,0.318762741248101,"yes",0.386149396514766,0.17870296739052,-0.223486978279801
"7",2004,"no",0.93,199.989075938544,1.00997713993038,1.02093860117902,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2004-09",9,2004,410,12.225,0.830267285068698,-1.02303781785049,-1.43124882590646,-1.22719854344586,-1.12835294054579,"yes",2.62268517298506,1.36341247985264,1.52317251017112,-0.484925146000895,2005,2006,0.825490714539837,-0.184486425390542,"no",-0.223486978279801,-2.17712256090858,-0.651638783862834
"8",2007,"no",0.51,123.834985059936,0.544971111414096,0.553975483178186,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2007-09",9,2007,217,11.8916666666667,0.0786710337485681,-1.75543670288847,-2.26713257908375,-2.49457904573518,-1.12835294054579,"yes",0.819295792336264,0.752367200251109,-0.546012249969537,-1.06268662789072,2008,2009,0.825490714539837,0.280519603125741,"yes",0.339821633586895,0.00750453287294248,0.0885818737882345
"9",2014,"no",0.845,235.400715630728,0.876962276149103,0.872207127602717,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7395554,33.806522,"2014-09",9,2014,415,12.4,0.836963691737709,-0.24264527977786,-1.34914456505738,-1.19731825297741,-1.12835294054579,"yes",1.18320774232552,NA,-1.26380987655436,NA,2015,2016,0.825490714539837,-0.0514715616092665,"no",-0.0623526839280789,-0.433338645105283,NA
"10",2015,"no",1.145,326.133210138689,1.18320774232552,1.16703930317915,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",9.6,0.0072382464,36.2643788590829,406.3733851716,"sp2",-116.7396,33.8065,"2015-09",9,2015,462.294,12.9166666666667,0.866817698524489,0.834475191362595,-1.26380987655436,-0.920251132739289,-1.12835294054579,"yes",NA,NA,NA,NA,2016,2017,0.825490714539837,-0.357717027785685,"no",-0.433338645105283,NA,NA
