"","tree.uniqueID","Site","Neighborhood","Species","totDBH","totBA"
"1","11ac1_1","Black Mountain",1,"ac",19.4,0.0295593144
"2","11pj1_1","Black Mountain",1,"pj",61.4,0.2960926584
"3","11pl1_1","Black Mountain",1,"pl",46.2,0.1676389176
"4","11ac2_1","Black Mountain",2,"ac",74.9,0.4406101854
"5","11pj2_1","Black Mountain",2,"pj",54.1,0.2298716574
"6","11pl2_1","Black Mountain",2,"pl",85.3,0.5714641086
"7","11ac3_1","Black Mountain",3,"ac",17.2,0.0232352736
"8","11pj3_1","Black Mountain",3,"pj",29,0.06605214
"9","11pl3_1","Black Mountain",3,"pl",121.5,1.159427115
"10","11cd3_1","Black Mountain",3,"cd",75,0.4417875
"11","4ac1_1","Crescent Meadow",1,"ac",83,0.54106206
"12","4pj1_1","Crescent Meadow",1,"pj",91.9,0.6633182094
"13","4pl1_1","Crescent Meadow",1,"pl",136.6,1.4655218424
"14","4ac2_1","Crescent Meadow",2,"ac",54.6,0.2341403064
"15","4pl2_1","Crescent Meadow",2,"pl",152.3,1.8217580766
"16","4pp2_1","Crescent Meadow",2,"pp",52,0.21237216
"17","4ac3_1","Crescent Meadow",3,"ac",47,0.17349486
"18","4pj3_1","Crescent Meadow",3,"pj",47.1,0.1742339214
"19","4pl3_1","Crescent Meadow",3,"pl",78.4,0.4827508224
"20","9am1_1","Inyo Craters",1,"am",33,0.08553006
"21","9pj1_1","Inyo Craters",1,"pj",37.5,0.110446875
"22","9ac2_1","Inyo Craters",2,"ac",10.3,0.0083323086
"23","9pj2_1","Inyo Craters",2,"pj",112.8,0.9993303936
"24","9am3_1","Inyo Craters",3,"am",43.1,0.1458966894
"25","9pj3_1","Inyo Craters",3,"pj",42.1,0.1392050814
"26","17ac1_1","Lilly Creek",1,"ac",17.3,0.0235062366
"27","17pj1_1","Lilly Creek",1,"pj",68.4,0.3674541024
"28","17pl1_1","Lilly Creek",1,"pl",122.9,1.1863003614
"29","17ac2_1","Lilly Creek",2,"ac",48.5,0.184745715
"30","17pj2_1","Lilly Creek",2,"pj",71,0.39592014
"31","17pl2_1","Lilly Creek",2,"pl",52.7,0.2181283566
"32","17ac3_1","Lilly Creek",3,"ac",54.8,0.2358587616
"33","17pj3_1","Lilly Creek",3,"pj",23.5,0.043373715
"34","17pl3_1","Lilly Creek",3,"pl",97.3,0.7435609566
"35","18ac1_1","Peppermint",1,"ac",68.6,0.3696060984
"36","18pj1_1","Peppermint",1,"pj",90.9,0.6489610974
"37","18pl1_1","Peppermint",1,"pl",104.6,0.8593187064
"38","18ac2_1","Peppermint",2,"ac",54.8,0.2358587616
"39","18pj2_1","Peppermint",2,"pj",118,1.09359096
"40","18pl2_1","Peppermint",2,"pl",37.2,0.1086867936
"41","18pj3_1","Peppermint",3,"pj",117.5,1.084342875
"42","18ac3_1","Peppermint",3,"ac",33,0.08553006
"43","18pl3_1","Peppermint",3,"pl",68.2,0.3653083896
"44","8ac1_1","Pine Ridge",1,"ac",72.5,0.412825875
"45","8pl1_1","Pine Ridge",1,"pl",119.5,1.121570835
"46","8pj1_1","Pine Ridge",1,"pj",67.2,0.3546740736
"47","8pj2_1","Pine Ridge",2,"pj",110.7,0.9624676446
"48","8ac2_1","Pine Ridge",2,"ac",25.2,0.0498760416
"49","8pl2_1","Pine Ridge",2,"pl",19.4,0.0295593144
"50","8ac3_1","Pine Ridge",3,"ac",55.4,0.2410518264
"51","8pj3_1","Pine Ridge",3,"pj",101.2,0.8043626976
"52","8pl3_1","Pine Ridge",3,"pl",15,0.0176715
"53","12ac1_1","Seven Pines",1,"ac",3.8,0.0011341176
"54","12cd1_1","Seven Pines",1,"cd",55.3,0.2401823886
"55","12pc1_1","Seven Pines",1,"pc",35.6,0.0995384544
"56","12pj1_1","Seven Pines",1,"pj",80.2,0.2979823308
"57","12pl1_1","Seven Pines",1,"pl",8.7,0.0059446926
"58","12pp1_1","Seven Pines",1,"pp",108.6,0.9262976184
"59","12ac2_1","Seven Pines",2,"ac",9.6,0.0072382464
"60","12cd2_1","Seven Pines",2,"cd",49.5,0.192442635
"61","12pl2_1","Seven Pines",2,"pl",8.9,0.0062211534
"62","12pp2_1","Seven Pines",2,"pp",95.2,0.7118111616
"63","12pl3_1","Seven Pines",3,"pl",21.8,0.0373253496
"64","12pp3_1","Seven Pines",3,"pp",109.5,0.941714235
"65","10ac1_1","Sherwin Lakes",1,"ac",50.6,0.2010906744
"66","10pj1_1","Sherwin Lakes",1,"pj",42.5,0.141862875
"67","10ac2_1","Sherwin Lakes",2,"ac",25.3,0.0502726686
"68","10pj2_1","Sherwin Lakes",2,"pj",23.2,0.0422733696
"69","10ac3_1","Sherwin Lakes",3,"ac",11,0.00950334
"70","10pj3_1","Sherwin Lakes",3,"pj",105.5,0.874169835
"71","11ac1_2","Black Mountain",1,"ac",45.4,0.1618835064
"72","11pj1_2","Black Mountain",1,"pj",26.1,0.0535022334
"73","11pl1_2","Black Mountain",1,"pl",98,0.75429816
"74","11ac2_2","Black Mountain",2,"ac",58.1,0.2651204094
"75","11pj2_2","Black Mountain",2,"pj",39.8,0.1244105016
"76","11pl2_2","Black Mountain",2,"pl",37.9,0.1128156414
"77","11pj3_2","Black Mountain",3,"pj",77.1,0.4668739614
"78","11ac3_2","Black Mountain",3,"ac",19.8,0.0307908216
"79","11cd3_2","Black Mountain",3,"cd",68.3,0.3663804606
"80","4ac1_2","Crescent Meadow",1,"ac",41,0.13202574
"81","4pl1_2","Crescent Meadow",1,"pl",92,0.66476256
"82","4ac2_2","Crescent Meadow",2,"ac",83.1,0.5423666094
"83","4pj2_2","Crescent Meadow",2,"pj",94,0.69397944
"84","4ac3_2","Crescent Meadow",3,"ac",38,0.11341176
"85","4pj3_2","Crescent Meadow",3,"pj",78.3,0.4815201006
"86","9am1_2","Inyo Craters",1,"am",15.4,0.0186265464
"87","9pj1_2","Inyo Craters",1,"pj",7.5,0.004417875
"88","9ac2_2","Inyo Craters",2,"ac",9.2,0.0066476256
"89","9pj2_2","Inyo Craters",2,"pj",16,0.02010624
"90","9am3_2","Inyo Craters",3,"am",19.2,0.0289529856
"91","9pj3_2","Inyo Craters",3,"pj",33.4,0.0876160824
"92","17ac1_2","Lilly Creek",1,"ac",41.4,0.1346144184
"93","17pj1_2","Lilly Creek",1,"pj",66.6,0.3483688824
"94","17pl1_2","Lilly Creek",1,"pl",60.2,0.2846321016
