"tree.uniqueID","Year","event","spei_post","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","BA","DBH","reduction","spei12","post1","post2","spei_post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","Region1","recovery"
"10ac1_1",1959,"post1",-1.33733898536395,1960,0.770524563775372,0.770689475684381,0.737891929933033,0.801397882175312,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.57518131114403,0.576109409697605,0.477950308482775,-1.24838936836364,-0.278063357569926,-0.194415154077767,-0.194580065986776,-0.225288472477707,-0.161782520235428,"lat4",-0.194415154077767
"10ac1_1",1960,"post1",-1.24838936836364,1961,0.786194687887428,0.786794146516135,0.754463915291208,0.817447671024656,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"yes",-1.33733898536395,0.477950308482775,0.742265563906506,-0.194995633816734,0.259129390918454,-0.308244379404654,-0.30884383803336,-0.339497362541881,-0.276513606808434,"lat4",-0.308244379404654
"10ac1_1",1968,"post1",0.842066107496866,1969,1.14935639002842,1.14874338654145,1.12500924169047,1.179211365609,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.51086091961417,1.52325588508992,1.22543434985333,-0.249092479570667,-0.824592643267479,0.373899495061501,0.374512498548477,0.344044519480922,0.398246643399452,"lat4",0.373899495061501
"10ac1_1",1977,"post1",0.659049250066537,1978,1.11813838997202,1.11730029349254,1.09753401421563,1.14390499161131,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"yes",-1.95712685884876,0.567878540991654,1.64954900543265,-0.493186321902175,0.454760441774799,-0.550259848980366,-0.549421752500889,-0.576026450619654,-0.529655473223976,"lat4",-0.550259848980366
"10ac1_1",1987,"post1",-0.942350057055008,1988,0.83911583541992,0.83898991103529,0.813707565735584,0.86231770649205,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.44503741033721,0.693885167025326,0.769057833011822,-0.433219802467772,-0.117139415346533,-0.145230668394595,-0.145104744009964,-0.168432539466724,-0.119822398710258,"lat4",-0.145230668394595
"10ac1_1",1994,"post1",1.3668932209129,1995,1.24041208409396,1.23915365904399,1.20534601168992,1.27731632810423,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.53895132603078,0.706284797309041,1.2110492087296,0.363502655145601,-0.0239465881746311,-0.53412728678492,-0.532868861734945,-0.57103153079519,-0.499061214380883,"lat4",-0.53412728678492
"10ac1_1",2007,"post1",-0.504548595632735,2008,0.914934941407372,0.914656415732305,0.897875605437983,0.932166155798448,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.39332607063783,0.988510409077458,1.08566602299755,-0.0771853841341844,-0.80788327773633,0.0735754676700864,0.0738539933451527,0.05634425327901,0.0906348036394745,"lat4",0.0735754676700864
"10ac1_1",2012,"post1",-1.36140365486904,2013,0.765676067233928,0.765666354185852,0.731076785753685,0.79703935464415,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"no",-1.42493918258355,0.386473368195494,0.318333630774875,-1.54921500174006,-0.199625965019928,-0.379202699038434,-0.379192985990358,-0.410565986448656,-0.344603417558191,"lat4",-0.379202699038434
"10ac1_1",2013,"post1",-1.54921500174006,2014,0.733430738371873,0.733809516282804,0.69575203540975,0.76876774944609,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"yes",-1.36140365486904,0.318333630774875,0.432557396120353,-1.82405314854576,0.50299933507581,-0.415097107596997,-0.415475885507929,-0.450434118671215,-0.377418404634874,"lat4",-0.415097107596997
"10ac1_1",2014,"post1",-1.82405314854576,2015,0.685284392789758,0.685836501719469,0.642195687148076,0.725369506435861,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"yes",-1.54921500174006,0.432557396120353,NA,NA,0.590626316888116,-0.252726996669405,-0.253279105599116,-0.292812110315508,-0.209638291027723,"lat4",-0.252726996669405
"10ac1_1",2015,"post1",NA,2016,NA,NA,NA,NA,"sl","AC",1,"Mammoth","high",2.78722594970704,596.186298856764,50.6,"yes",-1.82405314854576,NA,NA,NA,0.443735762457647,NA,NA,NA,NA,"lat4",NA
"10ac1_2",1924,"post1",1.12665505846153,1925,1.1981309399527,1.19780902580295,1.16849641509298,1.23117255004409,"sl","AC",1,"Mammoth","high",0.79287377730487,650.316096709818,187.7,"yes",-1.75645984309405,0.860470823407906,1.01757817889428,-0.0902027465608272,0.029895598579345,-0.337660116544799,-0.337338202395042,-0.370701726636188,-0.308025591685071,"lat4",-0.337660116544799
"10ac1_2",1934,"post1",0.225105622523544,1935,1.04192409059671,1.04123726812268,1.02696350985546,1.06068793174291,"sl","AC",1,"Mammoth","high",0.79287377730487,650.316096709818,187.7,"no",-1.5801073545413,0.729039205258395,0.900353214877037,1.49048368589492,-0.23242638705144,-0.312884885338318,-0.312198062864285,-0.331648726484517,-0.297924304597068,"lat4",-0.312884885338318
"10ac1_2",1959,"post1",-1.33733898536395,1960,0.770693374377061,0.770793856642502,0.737848209149456,0.804401336137742,"sl","AC",1,"Mammoth","high",0.79287377730487,650.316096709818,187.7,"no",-1.57518131114403,0.53679249637169,0.625205711520458,-1.24838936836364,-0.500247224508055,-0.233900878005371,-0.234001360270812,-0.267608839766052,-0.201055712777766,"lat4",-0.233900878005371
"10ac1_2",1960,"post1",-1.24838936836364,1961,0.785785726228505,0.786110100162511,0.756034962790786,0.818999043386676,"sl","AC",1,"Mammoth","high",0.79287377730487,650.316096709818,187.7,"yes",-1.33733898536395,0.625205711520458,1.07485261521082,-0.194995633816734,0.212316445514225,-0.160580014708047,-0.160904388642053,-0.193793331866218,-0.130829251270328,"lat4",-0.160580014708047
"10ac1_2",1968,"post1",0.842066107496866,1969,1.14966362503003,1.14932879548707,1.12480022156656,1.17587863055108,"sl","AC",1,"Mammoth","high",0.79287377730487,650.316096709818,187.7,"no",-1.51086091961417,1.36644357038156,1.24910490743193,-0.249092479570667,-0.418232540105798,0.216779945351531,0.217114774894482,0.19056493983048,0.241643348814992,"lat4",0.216779945351531
