"Site","Neighborhood","area"
"Black Mountain",1,2710.26757454197
"Black Mountain",2,2997.30584029574
"Black Mountain",3,1792.6335516948
"Crescent Meadow",1,2208.83428258821
"Crescent Meadow",2,5316.03770666744
"Crescent Meadow",3,1673.63219348062
"Inyo Craters",1,1874.2152290903
"Inyo Craters",2,2011.92450455512
"Inyo Craters",3,4896.33300407277
"Lilly Creek",1,3373.21737754764
"Lilly Creek",2,2272.94551727682
"Lilly Creek",3,2260.43933766801
"Peppermint",1,2214.14958661934
"Peppermint",2,3293.30951336771
"Peppermint",3,3324.17197883595
"Pine Ridge",1,3231.79948710026
"Pine Ridge",2,1205.4847820967
"Pine Ridge",3,1853.59452530695
"Seven Pines",1,2326.69793765806
"Seven Pines",2,1835.7089119209
"Seven Pines",3,1363.13277983689
"Sherwin Lakes",1,2503.72893569246
"Sherwin Lakes",2,2533.36250754562
"Sherwin Lakes",3,6307.40423406707
