Region,Site,Neighborhood,Date,DateT2,DateT3,Species,ID,Focal,Status,Snag,StatusT2,SnagT2,StatusT3,DBH,DBH stem 2,DBH stem3,DBH stem 4,DBHT2,DBHT3,Notes,Data Collectors,Data Collectors Next,Old ID,
San Jacinto,Black Mountain,1,11/6/2015,,,ABCO,1,F,1,,,,,19.4,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,11/6/2015,,,ABCO,2,F,1,,,,,45.4,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,6/5/2016,,,ABCO,3,F,1,,,,,29.5,,,,,,,"TB, NW, RB",,,
San Jacinto,Black Mountain,1,6/5/2016,,,ABCO,4,F,1,,,,,30.4,,,,,,,"TB, NW, RB",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3228,P,1,,,,,27,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3229,P,1,,,,,14.9,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3231,P,1,,,,,5.1,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3233,P,0,no,,,,31.4,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3235,P,1,,,,,21,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3236,P,1,,,,,8.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3238,P,1,,,,,13.1,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3250,P,1,,,,,19.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3259,P,1,,,,,12.2,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3260,P,1,,,,,19.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,ABCO,3263,P,1,,,,,2.2,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,11/6/2015,,,PIJE,1,F,1,,,,,61.4,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,11/6/2015,,,PIJE,2,F,1,,,,,26.1,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,11/6/2015,,,PIJE,3,F,1,,,,,26.6,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,6/5/2016,,,PIJE,4,F,1,,,,,59.8,,,,,,,"TB, NW, RB",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PIJE,3232,P,1,,,,,2.1,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PIJE,3254,P,1,,,,,21.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PIJE,3255,P,1,,,,,27.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PIJE,3261,P,1,,,,,24,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,11/6/2015,,,PILA,1,F,1,,,,,46.2,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,11/6/2015,,,PILA,2,F,1,,,,,98,,,,,,,"TB, CK",,,
San Jacinto,Black Mountain,1,6/5/2016,,,PILA,4,F,1,,,,,36,,,,,,,"TB, NW, RB",,,
San Jacinto,Black Mountain,1,6/5/2016,,,PILA,24,F,1,,,,,23.7,,,,,,,"TB, NW, RB",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3226,P,1,,,,,89,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3227,P,1,,,,,53.9,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3230,P,1,,,,,9.1,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3234,P,1,,,,,76,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3237,P,1,,,,,52,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3239,P,1,,,,,25.2,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3240,P,1,,,,,28,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3241,P,1,,,,,24.7,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3242,P,1,,,,,31.9,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3243,P,1,,,,,3.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3244,P,1,,,,,38.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3245,P,1,,,,,8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3246,P,1,,,,,17.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3247,P,1,,,,,20.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3248,P,1,,,,,77.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3249,P,1,,,,,29.6,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3251,P,1,,,,,8.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3252,P,1,,,,,55,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3253,P,1,,,,,7.5,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3256,P,1,,,,,42.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3257,P,1,,,,,31.2,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3258,P,1,,,,,50,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3262,P,1,,,,,12.1,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,1,8/18/2019,,,PILA,3264,P,1,,,,,1.8,,,,,,,"TB, MC",,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,1,F,1,,,,,74.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,2,P,1,,,,,58.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,3,F,1,,,,,17.8,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,4,P,1,,,,,15.3,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,5,P,1,,,,,9.4,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,6,P,1,,,,,8.6,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,7,P,1,,,,,10.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,8,P,1,,,,,13.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,9,P,1,,,,,8.2,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,10,F,1,,,,,8.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,ABCO,11,F,1,,,,,11.6,,,,,,,,,,
San Jacinto,Black Mountain,2,8/18/2019,,,ABCO,3265,P,1,,,,,1.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3283,P,1,,,,,15.6,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3284,P,1,,,,,17,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3285,P,1,,,,,18.8,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3286,P,1,,,,,12.2,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3287,P,1,,,,,17.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3288,P,1,,,,,1.2,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3290,P,1,,,,,30,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3291,P,1,,,,,12.6,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3295,P,1,,,,,26.2,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3296,P,1,,,,,25.9,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3297,P,1,,,,,5.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3299,P,1,,,,,38.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3301,P,1,,,,,17.2,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3305,P,1,,,,,1.6,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCO,3294,P,1,,,,,38.2,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,ABCOC,3300,P,1,,,,,11.5,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,1,F,1,,,,,54.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,2,F,1,,,,,39.8,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,8/18/2019,,PIJE,3,P,1,,0,no,,27,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,4,P,1,,,,,22,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,5,P,1,,,,,56.4,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,6,P,1,,,,,59,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,7,P,1,,,,,2.6,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,8,P,1,,,,,22.4,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,9,P,1,,,,,6.6,8.8,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,10,P,1,,,,,56.2,17.1,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,11,P,1,,,,,28.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,12,P,1,,,,,6.5,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,13,P,1,,,,,6.6,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,14,P,1,,,,,31.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,15,F,1,,,,,27.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PIJE,16,F,1,,,,,19.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PIJE,3303,P,1,,,,,78.5,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,1,F,1,,,,,85.3,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,2,F,1,,,,,37.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,3,P,1,,,,,60.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,4,P,1,,,,,78.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,5,P,1,,,,,85.2,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,6,P,1,,,,,74.1,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,7,P,1,,,,,60.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,8,P,1,,,,,4.9,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,9,P,1,,,,,18,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,10,P,1,,,,,1.8,,,,,,,,,,
San Jacinto,Black Mountain,2,5/21/2016,,,PILA,11,P,1,,,,,101.9,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3282,P,1,,,,,118.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3289,P,1,,,,,2.8,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3292,P,1,,,,,1.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3293,P,1,,,,,1,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3298,P,1,,,,,87.5,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3302,P,1,,,,,6.6,,,,,,,,,,
San Jacinto,Black Mountain,2,8/31/2019,,,PILA,3304,P,1,,,,,0.7,,,,,,,,,,
San Jacinto,Black Mountain,3,11/6/2015,,,ABCO,1,F,1,,,,,17.2,,,,,,,,,,
San Jacinto,Black Mountain,3,6/5/2016,,,ABCO,2,F,1,,,,,19.8,,,,,,,,,,
San Jacinto,Black Mountain,3,6/5/2016,,,ABCO,4,F,1,,,,,47.4,,,,,,,,,,
San Jacinto,Black Mountain,3,6/5/2016,,,ABCO,5,P,1,,,,,58.8,,,,,,,,,,
