Y,X,Site
33.83053568,-116.7484844,bm1
33.8302751,-116.7493229,bm2
33.83172032,-116.7506888,bm3
36.56081206,-118.7574905,cm1
36.55191294,-118.7550899,cm2
36.55297779,-118.7528283,cm3
37.68938528,-119.0142051,ic1
37.6887312,-119.0151075,ic2
37.68937984,-119.0132542,ic3
36.61860615,-118.8154038,pr1
36.62106993,-118.8154677,pr2
36.61846901,-118.8123335,pr3
33.80615523,-116.7385843,sp1
33.806522,-116.7395554,sp2
33.80593034,-116.7383426,sp3
37.61224782,-118.9480072,sl1
37.61346175,-118.9502333,sl2
37.61160175,-118.9499128,sl3
36.0208996,-118.56064,lc1
36.0196874,-118.5586,lc2
36.0220248,-118.55845,lc3
36.0908857,-118.54462,pp1
36.0892155,-118.54364,pp2
36.0916235,-118.54371,pp3
