PRISM Time Series Data,,,,,,,,
Locations: 24,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,,,,,
Spatial resolution: 800m,,,,,,,,
Period: 2011-01 - 2018-12,,,,,,,,
Dataset: AN81m,,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,,
Time series generated: 2019-Sep-13,,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
bm1,-116.7485,33.8305,7234,2011-01,2.31,29.5,38.7,48
bm1,-116.7485,33.8305,7234,2011-02,5.74,26.1,34.1,42
bm1,-116.7485,33.8305,7234,2011-03,3.03,33,41,49
bm1,-116.7485,33.8305,7234,2011-04,1.15,35.2,45.8,56.4
bm1,-116.7485,33.8305,7234,2011-05,0.86,38.1,48.7,59.3
bm1,-116.7485,33.8305,7234,2011-06,0.04,45.6,57.8,70
bm1,-116.7485,33.8305,7234,2011-07,0.45,56.6,66.8,76.9
bm1,-116.7485,33.8305,7234,2011-08,0.79,57.2,68.5,79.9
bm1,-116.7485,33.8305,7234,2011-09,1.17,54.8,65.4,75.9
bm1,-116.7485,33.8305,7234,2011-10,2.16,44.6,55.7,66.7
bm1,-116.7485,33.8305,7234,2011-11,4.52,33.3,41.2,49.1
bm1,-116.7485,33.8305,7234,2011-12,0.75,28,36.1,44.1
bm1,-116.7485,33.8305,7234,2012-01,1.65,36.1,44.2,52.2
bm1,-116.7485,33.8305,7234,2012-02,2,28.9,37.4,45.9
bm1,-116.7485,33.8305,7234,2012-03,4.01,28.9,40.1,51.3
bm1,-116.7485,33.8305,7234,2012-04,3.74,37.6,48.6,59.5
bm1,-116.7485,33.8305,7234,2012-05,0,42.6,55.1,67.5
bm1,-116.7485,33.8305,7234,2012-06,0,48.6,61.9,75.1
bm1,-116.7485,33.8305,7234,2012-07,0.19,60.5,68.9,77.3
bm1,-116.7485,33.8305,7234,2012-08,2.34,60.9,70,79.1
bm1,-116.7485,33.8305,7234,2012-09,0.83,55.7,65.7,75.7
bm1,-116.7485,33.8305,7234,2012-10,0.25,44.7,55.8,66.9
bm1,-116.7485,33.8305,7234,2012-11,1.82,36.6,45.7,54.7
bm1,-116.7485,33.8305,7234,2012-12,4.82,32.6,37.5,42.5
bm1,-116.7485,33.8305,7234,2013-01,2.8,28.1,35.3,42.4
bm1,-116.7485,33.8305,7234,2013-02,2,29.6,35.7,41.9
bm1,-116.7485,33.8305,7234,2013-03,2.36,37.3,46.4,55.5
bm1,-116.7485,33.8305,7234,2013-04,0.27,38.7,49.5,60.3
bm1,-116.7485,33.8305,7234,2013-05,0.74,47.2,56.7,66.3
bm1,-116.7485,33.8305,7234,2013-06,0,50.8,63.8,76.8
bm1,-116.7485,33.8305,7234,2013-07,0.62,64.5,71.8,79
bm1,-116.7485,33.8305,7234,2013-08,0.47,60.9,69.3,77.7
bm1,-116.7485,33.8305,7234,2013-09,2.37,56.2,64.7,73.1
bm1,-116.7485,33.8305,7234,2013-10,2.36,44.7,53.2,61.7
bm1,-116.7485,33.8305,7234,2013-11,1.14,39.2,45.2,51.1
bm1,-116.7485,33.8305,7234,2013-12,1.34,34.6,40.7,46.8
bm1,-116.7485,33.8305,7234,2014-01,0.29,34.8,45.1,55.4
bm1,-116.7485,33.8305,7234,2014-02,1.05,32.8,41.7,51
bm1,-116.7485,33.8305,7234,2014-03,4.25,35,46,54.4
bm1,-116.7485,33.8305,7234,2014-04,1.56,36.2,48.3,59.9
bm1,-116.7485,33.8305,7234,2014-05,0.45,44.6,55.8,66.4
bm1,-116.7485,33.8305,7234,2014-06,0,50.3,62.1,74.5
bm1,-116.7485,33.8305,7234,2014-07,0.62,59.9,69.3,78.1
bm1,-116.7485,33.8305,7234,2014-08,1.97,56.4,66.9,75
bm1,-116.7485,33.8305,7234,2014-09,0.74,54.6,65.1,75.4
bm1,-116.7485,33.8305,7234,2014-10,0,46.9,59,69.9
bm1,-116.7485,33.8305,7234,2014-11,1.55,38.6,46.7,54
bm1,-116.7485,33.8305,7234,2014-12,4.86,33.5,39.3,45.1
bm1,-116.7485,33.8305,7234,2015-01,0.67,32.4,40.6,48.9
bm1,-116.7485,33.8305,7234,2015-02,1.97,36,44.8,53.6
bm1,-116.7485,33.8305,7234,2015-03,1,36.7,47.2,57.7
bm1,-116.7485,33.8305,7234,2015-04,1.49,35.6,46.8,58
bm1,-116.7485,33.8305,7234,2015-05,2.71,40.1,48,56
bm1,-116.7485,33.8305,7234,2015-06,0.09,53.2,63.9,74.6
bm1,-116.7485,33.8305,7234,2015-07,3.13,56.1,64,71.9
bm1,-116.7485,33.8305,7234,2015-08,0,59,68.1,77.2
bm1,-116.7485,33.8305,7234,2015-09,1.95,55.3,64.1,72.9
bm1,-116.7485,33.8305,7234,2015-10,1.86,48.2,56.1,64
bm1,-116.7485,33.8305,7234,2015-11,1.7,33.1,41.3,49.5
bm1,-116.7485,33.8305,7234,2015-12,5.07,28.7,36.2,43.7
bm1,-116.7485,33.8305,7234,2016-01,5.17,28.5,36,43.6
bm1,-116.7485,33.8305,7234,2016-02,1.7,34.3,44.2,54
bm1,-116.7485,33.8305,7234,2016-03,2.53,33.3,43.5,53.8
bm1,-116.7485,33.8305,7234,2016-04,1.68,36.6,46.4,56.3
bm1,-116.7485,33.8305,7234,2016-05,1.13,40.5,49.5,58.6
bm1,-116.7485,33.8305,7234,2016-06,0,54.8,65.6,76.4
bm1,-116.7485,33.8305,7234,2016-07,0.2,59.8,69.4,79
bm1,-116.7485,33.8305,7234,2016-08,0,58.3,67.5,76.7
bm1,-116.7485,33.8305,7234,2016-09,2.1,50.2,60.1,70
bm1,-116.7485,33.8305,7234,2016-10,1,46,55.3,64.6
bm1,-116.7485,33.8305,7234,2016-11,3.92,38.4,46.4,54.4
bm1,-116.7485,33.8305,7234,2016-12,7.71,32.1,38.6,45
bm1,-116.7485,33.8305,7234,2017-01,12.63,25.4,34.1,42.9
bm1,-116.7485,33.8305,7234,2017-02,5.57,33.9,41.5,49.2
bm1,-116.7485,33.8305,7234,2017-03,0.47,35,47.6,60.3
bm1,-116.7485,33.8305,7234,2017-04,0.02,39.2,49.4,59.6
bm1,-116.7485,33.8305,7234,2017-05,0.46,43.8,53.8,63.9
bm1,-116.7485,33.8305,7234,2017-06,0,53.8,64.8,75.8
bm1,-116.7485,33.8305,7234,2017-07,0.06,60.8,70.2,79.6
bm1,-116.7485,33.8305,7234,2017-08,0.29,57.3,67.1,76.9
bm1,-116.7485,33.8305,7234,2017-09,0.96,52.2,60.6,69
bm1,-116.7485,33.8305,7234,2017-10,0.03,45.4,56.8,68.2
bm1,-116.7485,33.8305,7234,2017-11,0.24,42.8,51.5,60.2
bm1,-116.7485,33.8305,7234,2017-12,0,38.4,45.9,53.3
bm1,-116.7485,33.8305,7234,2018-01,4.04,34.1,43.6,53.1
bm1,-116.7485,33.8305,7234,2018-02,0.69,29,38.2,47.4
bm1,-116.7485,33.8305,7234,2018-03,5.82,33.1,40.8,48.6
bm1,-116.7485,33.8305,7234,2018-04,0.02,38.1,49.1,60.1
bm1,-116.7485,33.8305,7234,2018-05,0.54,43.3,52.7,62.1
bm1,-116.7485,33.8305,7234,2018-06,0,51,63,74.9
bm1,-116.7485,33.8305,7234,2018-07,0.89,60,69.8,79.6
bm1,-116.7485,33.8305,7234,2018-08,0.3,58.5,68.1,77.6
bm1,-116.7485,33.8305,7234,2018-09,0,54.5,65.8,77
bm1,-116.7485,33.8305,7234,2018-10,1.16,41,51.2,61.4
bm1,-116.7485,33.8305,7234,2018-11,3.86,37.7,46.3,54.9
bm1,-116.7485,33.8305,7234,2018-12,2.41,27.6,37.5,47.4
,,,,,,,,
bm2,-116.7493,33.8303,7234,2011-01,2.31,29.5,38.7,48
bm2,-116.7493,33.8303,7234,2011-02,5.74,26.1,34.1,42
bm2,-116.7493,33.8303,7234,2011-03,3.03,33,41,49
bm2,-116.7493,33.8303,7234,2011-04,1.15,35.2,45.8,56.4
bm2,-116.7493,33.8303,7234,2011-05,0.86,38.1,48.7,59.3
bm2,-116.7493,33.8303,7234,2011-06,0.04,45.6,57.8,70
bm2,-116.7493,33.8303,7234,2011-07,0.45,56.6,66.8,76.9
bm2,-116.7493,33.8303,7234,2011-08,0.79,57.2,68.5,79.9
bm2,-116.7493,33.8303,7234,2011-09,1.17,54.8,65.4,75.9
bm2,-116.7493,33.8303,7234,2011-10,2.16,44.6,55.7,66.7
bm2,-116.7493,33.8303,7234,2011-11,4.52,33.3,41.2,49.1
